time;interpolated Pixel rightCheek
18.528;203.20846188663964
18.558;203.54427895162223
18.588;203.38563676249856
18.618;203.2574760420275
18.648;202.85595196472934
18.678;202.44500156478196
18.708;202.20817858711712
18.738;202.5627822505766
18.768;203.3265036941538
18.798;203.38241473172693
18.828;203.24266062587918
18.858;202.8542813560793
18.888;202.41617705348898
18.918;202.32206471494607
18.948;202.79773440694146
18.978;203.43851094972172
19.008;203.496965402795
19.038;203.47483806676632
19.068;202.86275947844854
19.098;202.66578406538258
19.128;202.79797164767547
19.158;202.813518850163
19.188;203.171868839547
19.218;203.61012689017716
19.248;203.42191997405442
19.278;203.13382502382447
19.308;203.0526704696598
19.338;203.0250347294062
19.368;203.24620166517562
19.398;203.56603923122648
19.428;203.48201511059202
19.458;203.47900394189358
19.488;203.5359017130862
19.518;203.22777161556877
19.548;202.79697072663433
19.578;202.91726965327024
19.608;203.87171560019783
19.638;203.99897505978817
19.668;203.63828313623048
19.698;203.14643051319726
19.728;202.99734058329213
19.758;203.45097332871492
19.788;204.0949082092137
19.818;203.96554864989682
19.848;203.4343890177148
19.878;203.23209026506407
19.908;203.43712928928983
19.938;203.77771931802096
19.968;204.08425034387895
19.998;204.08425034387895
20.028;204.04392272102038
20.058;203.44019613755813
20.088;202.72851899613133
20.118;202.74178752107926
20.148;202.75109309193869
20.178;203.4087204996866
20.208;203.5362188365651
20.238;203.15098554515208
20.268;202.66080586080585
20.298;202.72471563524195
20.328;202.76423138265244
20.358;202.69111152005888
20.388;203.02294867503844
20.418;203.24973224973223
20.448;202.9380164853849
20.478;202.40633788869084
20.508;202.46596661054994
20.538;202.8696071829405
20.568;203.27324775533108
20.598;203.6158186806335
20.628;203.78523417597492
20.658;203.72552729529804
20.688;203.41338118698803
20.718;203.02831769436997
20.748;202.74257947146685
20.778;202.9264964850084
20.808;203.59457640941991
20.838;203.5128050377656
20.868;202.5688320773866
20.898;202.60726231248373
20.928;203.28139791885448
20.958;203.65356526881192
20.988;203.48971438942763
21.018;203.0703301318826
21.048;202.6749404964298
21.078;202.4393293317031
21.108;203.35807361465586
21.138;203.60432633905268
21.168;203.77585777916545
21.198;203.63035171348298
21.228;203.20743783022965
21.258;203.03417289326538
21.288;203.26469995175674
21.318;203.65805017659238
21.348;203.6029411764706
21.378;203.65556597792957
21.408;203.7119057380637
21.438;203.74386478684684
21.468;203.80517382048455
21.498;203.93249178715772
21.528;203.9461522440904
21.558;203.9252212850151
21.588;203.76148117412998
21.618;203.54420364637085
21.648;203.47402458560867
21.678;203.5620994160376
21.708;203.5777870470222
21.738;203.68552505748062
21.768;203.69629885852646
21.798;203.8020118079107
21.828;203.83930035959875
21.858;203.78961895148572
21.888;203.82025442798596
21.918;203.98021726700972
21.948;204.1025728987993
21.978;203.8288164665523
22.008;203.95078483422543
22.038;203.89525554362245
22.068;203.82467378432304
22.098;203.826444779536
22.128;203.84931938587144
22.158;203.9139289519893
22.188;204.0108158176711
22.218;204.1186318446402
22.248;204.1398804924535
22.278;204.14347012849734
22.308;204.03901646219987
22.338;203.7203418265702
22.368;203.6667939673264
22.398;203.6567721566693
22.428;203.74368084156205
22.458;203.83121509002086
22.488;203.9153635116598
22.518;203.9771702919851
22.548;203.85224377816968
22.578;204.18735976645166
22.608;204.1998158379374
22.638;204.14456721915286
22.668;204.03172070529394
22.698;203.9115732623985
22.728;203.97129762487972
22.758;204.254665146442
22.788;204.23175859382658
22.818;204.20885204121114
22.848;203.78642442113383
22.878;203.5974025974026
22.908;203.77523353839143
22.938;204.02047075731286
22.968;203.89217799744117
22.998;204.5576668740472
23.028;204.4854583307047
23.058;204.26023594725885
23.088;203.92038325209805
23.118;203.51416563962857
23.148;203.24768666087124
23.178;203.47652401665573
23.208;204.46748851579332
23.238;204.58121265092078
23.268;204.08192703027794
23.298;204.01210857726343
23.328;204.1885419735457
23.358;204.45675441083512
23.388;204.6822213500785
23.418;204.52297880690736
23.448;203.99803117231738
23.478;203.83695565241734
23.508;203.81203263086337
23.538;204.0994204473001
23.568;204.49161186831944
23.598;204.53665019717124
23.628;204.58168852602302
23.658;204.65634941541205
23.688;204.30801786958637
23.718;204.20964586846543
23.748;204.53696065623438
23.778;204.84442911348742
23.808;204.71173968034955
23.838;204.57401672050122
23.868;203.5706076453014
23.898;203.2957461174882
23.928;203.59654824053678
23.958;204.0282564986689
23.988;204.20341796106484
24.018;203.99375922985652
24.048;203.78410049864823
24.078;203.62988606485538
24.108;203.56884798909337
24.138;203.5936585268054
24.168;203.7235488730516
24.198;204.16860810093377
24.228;204.2913400580869
24.258;203.60861299679814
24.288;203.60976216044227
24.318;204.17068824783775
24.348;204.55811965811967
24.378;204.39524820762222
24.408;203.86515038300294
24.438;203.69310111599594
24.468;203.7786044414384
24.498;204.06186041695213
24.528;204.63465826904533
24.558;204.4651488669238
24.588;204.29563946480232
24.618;203.23417980313613
24.648;202.93282199943633
24.678;202.87058622216853
24.708;203.3110580297196
24.738;203.86501944635094
24.768;203.7984214138641
24.798;203.93560398078242
24.828;203.5125947672672
24.858;203.31987609599474
24.888;203.20591322603218
24.918;203.2480755773268
24.948;203.4286214135759
24.978;203.2946472275281
25.008;202.86270491870238
25.038;202.89155421379988
25.068;203.2306340660218
25.098;203.3998612074948
25.128;203.37175572519084
25.158;203.41272508126667
25.188;203.64365024288688
25.218;203.08687731911533
25.248;203.20963041861773
25.278;203.29021426131095
25.308;203.20242569183466
25.338;203.165573973623
25.368;203.31035467909288
25.398;203.45513538456277
25.428;203.54447110496562
25.458;203.48133311643417
25.488;203.41591302629428
25.518;203.2843119895093
25.548;203.30536958977328
25.578;203.18249442102652
25.608;203.14267669974728
25.638;203.26675704398536
25.668;203.27436674067744
25.698;203.2819764373695
25.728;203.38544520547947
25.758;203.48561643835617
25.788;203.43123884880163
