time;interpolated Pixel forehead
19.769;226.9728206879833
19.799;226.77247591118558
19.829;226.59467244262044
19.859;226.49093327253382
19.889;226.38719410244715
19.919;226.36950189104368
19.949;226.4462460770902
19.979;226.43830369357045
20.009;226.4303613100507
20.039;226.44433978511128
20.069;226.28842124442014
20.099;226.34763596611097
20.129;226.45169660228038
20.159;226.5557572384498
20.189;226.59391280504525
20.219;226.489149543104
20.249;226.44734805550127
20.279;226.58110264202747
20.309;226.64156449901483
20.339;226.64253020427307
20.369;226.5862459363729
20.399;226.37587208882547
20.429;226.0008946766738
20.459;225.84951596822435
20.489;225.8239475123018
20.519;226.1232651912185
20.549;226.15586229034588
20.579;226.12372201267956
20.609;226.13244135790043
20.639;226.063560680086
20.669;226.02422894535457
20.699;226.061630821723
20.729;226.09903269809146
20.759;226.19426312364692
20.789;226.30709354243317
20.819;226.20977850981808
20.849;226.08462698056323
20.879;226.18377855907895
20.909;226.2929633014285
20.939;226.26027287448093
20.969;226.32544530485947
20.999;226.39802117314466
21.029;226.42380528199797
21.059;226.5206988703911
21.089;226.66034815583623
21.119;226.67822508704785
21.149;226.57607821696203
21.179;226.5351204451163
21.209;226.27871225034573
21.239;226.1685823461698
21.269;226.06890089132207
21.299;226.11816038114182
21.329;226.06137327496236
21.359;225.9465157272122
21.389;225.98464792519727
21.419;226.1486866481408
21.449;226.13944293638616
21.479;226.2578337070695
21.509;226.50616685442634
21.539;226.60688353644883
21.569;226.46447081933348
21.599;226.29551058311185
21.629;226.3625620472138
21.659;226.62391169486978
21.689;226.88526134252575
21.719;226.921023294021
21.749;226.95913930124456
21.779;227.03558441718678
21.809;226.87939062301078
21.839;226.95288722448785
21.869;227.03635926187854
21.899;227.21868503791714
21.929;227.3644339756865
21.959;227.26418684574693
21.989;227.09301190552392
22.019;227.06012769634512
22.049;227.0887843929737
22.079;227.00384226923822
22.109;226.99660021019778
22.139;226.9958411681995
22.169;226.96509366445525
22.199;226.95753586605744
22.229;226.97992110498447
22.259;226.94722972001725
22.289;227.06390250914376
22.319;227.28253821213525
22.349;227.3642139560141
22.379;227.28982413606332
22.409;227.1654302246815
22.439;227.12042306756987
22.469;227.2134344260264
22.499;227.3526846552194
22.529;227.49193488441242
22.559;227.63533641928606
22.589;227.7700843495293
22.619;227.54339737612315
22.649;227.31110493655646
22.679;227.3363846966801
22.709;227.43500430283976
22.739;227.37117830086578
22.769;227.49881285226112
22.799;227.90737423496043
22.829;227.69465591879384
22.859;227.70561941251597
