time;Pixel rightCheek
121.386;201.61625708884688
121.421;201.7225897920605
121.46;201.9094766619519
121.534;202.26921263554928
121.571;201.85007072135784
121.603;202.62824752007558
121.636;202.8261691072272
121.703;202.3421052631579
121.737;202.1531954887218
121.771;202.1531954887218
121.806;201.93005671077503
121.84;201.93383742911152
121.874;202.15
121.908;201.86933962264152
121.941;201.87971698113208
121.983;201.77379830348727
122.051;201.6545711592837
122.095;201.79829545454547
122.128;201.6974431818182
122.162;201.7130681818182
122.196;201.5407196969697
122.23;202.14548889938592
122.267;202.36324988190836
122.334;202.189009947892
122.371;202.08858360966366
122.441;202.68491194669204
122.481;202.6563541170871
122.525;202.32232558139535
122.558;201.92697674418605
122.596;202.11627906976744
122.629;201.80276322058123
122.664;201.85183420676512
122.698;201.60981419723677
122.732;201.9450446218882
122.766;201.555190230155
122.8;202.05401596993894
122.833;201.5671219971738
122.868;201.7555346208196
122.902;201.9320754716981
122.936;201.94198113207548
123.013;202.01928640308583
123.063;202.2039537126326
123.13;202.25390810042634
123.164;202.1051634296542
123.231;202.3644230769231
123.264;202.31778846153847
123.299;202.66603505447654
123.334;202.95973472288014
123.372;202.47086688773092
123.459;202.43595825426945
123.494;202.5540796963947
123.562;201.95506149479658
123.595;202.23462630085146
123.643;202.21529745042494
123.683;201.9815864022663
123.731;201.98175865294667
123.765;201.96398503274088
123.803;201.99906454630496
123.84;202.43959731543623
123.874;202.31208053691276
123.911;202.7679769894535
123.95;202.16596540439457
124.02;201.83824216923796
124.054;201.7587657784011
124.091;201.6708742402992
124.124;201.96425166825549
124.158;202.16253574833175
124.193;202.1558627264061
124.227;202.54295051353876
124.261;202.2703081232493
124.308;202.14752567693745
124.344;201.9247412982126
124.41;201.673095014111
124.442;202.07743153918793
124.476;202.2459867799811
124.511;202.5377714825307
124.545;202.52857142857144
124.579;202.58761904761906
124.613;202.28611898016996
124.649;202.12322946175638
124.736;201.8413597733711
124.804;201.73859896567936
124.837;201.80065820404326
124.875;201.17438055165965
124.909;201.09957924263674
124.943;201.18186068256193
124.978;201.46925260170292
125.011;201.50614947965943
125.045;201.60793575814833
125.079;201.5238545111006
125.151;202.2647619047619
125.188;202.26904761904763
125.254;202.18946873530794
125.288;201.75693464974142
125.327;201.55242125058768
125.407;201.30079774753636
125.474;201.5374117647059
125.508;201.4470588235294
125.575;201.45228020686412
125.608;201.16267042783264
125.642;201.1905208822149
125.704;201.1665884561239
125.743;201.4854276158624
125.779;202.2049689440994
125.813;201.85761433286186
125.847;201.84158415841586
125.881;201.77274870344178
125.932;201.8838311996207
125.966;201.17306780464676
126;200.39118065433854
126.037;200.2811320754717
126.07;200.17405660377358
126.159;200.15133115366652
126.193;200.6534329752452
126.26;201.00331910858228
126.328;200.95014245014244
126.361;201.1718898385565
126.429;201.45364238410596
126.462;201.53831598864713
126.5;201.27956480605488
126.534;201.53108929406264
126.567;201.77185600748012
126.63;201.67875894988066
126.697;201.22577565632457
126.73;200.79152784388387
126.765;200.76106615897191
126.803;200.92533081285444
126.838;200.96455576559546
126.872;200.96833648393195
126.905;200.8213434969033
126.94;200.6793711291091
127.005;200.64807692307693
127.038;200.8985576923077
127.072;200.78125
127.16;200.95240361732507
127.194;200.92812946216088
127.228;201.3003331746787
127.263;201.6116135173727
127.299;201.7944365865158
127.333;201.65440829797265
127.367;201.32956152758132
127.401;201.03960396039605
127.437;201.24846770391324
127.504;200.630201028518
127.536;200.95278167367928
127.571;201.04888467014712
127.605;201.20360702420504
127.663;200.87090650213574
127.744;200.7578051087985
127.815;200.62724692526018
127.854;200.88978240302743
127.893;200.8088930936613
127.927;201.10085632730733
127.961;201.23453853472884
127.996;201.38296860133207
128.031;201.04137282557593
128.07;201.10484250117537
128.104;200.5508353221957
128.138;200.87875894988068
128.173;201.38
128.207;201.6457142857143
128.258;201.259346900142
128.292;201.11168954093705
128.358;201.21864647420728
128.398;201.17889256980595
128.431;201.25224798864176
128.498;201.636621047664
128.533;201.30863614912695
128.568;201.30863614912695
128.603;201.58702908917502
128.637;201.63996185026227
128.702;201.38949361097966
128.769;201.18173213440605
128.807;201.31229076996652
128.874;201.2285987565758
128.907;201.0887517797817
128.941;200.91931656383483
129.008;201.11058376839108
129.08;201.04619047619047
129.197;201.61875589066918
129.264;201.6903864278982
129.3;201.64086833411986
129.337;201.43511090136857
129.376;201.48007590132826
129.414;201.53273244781784
129.49;200.7345971563981
129.531;200.67630331753554
129.632;200.86540284360188
129.736;201.04976303317537
129.785;201.04976303317537
129.819;201.06018957345972
129.856;200.92199906585708
129.922;201.03316207379729
129.957;202.0425432445068
129.991;201.88686302010285
130.041;201.78991596638656
130.074;201.69000933706815
130.141;201.28874234573718
130.186;201.28874234573718
130.227;200.6317254174397
130.262;200.5422077922078
130.3;200.78849721706865
130.338;200.8738229755179
130.371;200.57344632768363
130.405;200.57344632768363
130.471;200.8555399719495
130.508;200.72323515661523
130.576;201.0921550094518
130.614;201.39981096408317
130.686;201.5030703826169
130.758;201.7156353330184
130.791;202.01039206424184
130.826;201.65035294117646
130.864;201.22917647058824
130.944;201.16846550915062
130.978;201.2055373064289
131.014;201.16424213984044
131.082;200.9938679245283
131.117;201.0806603773585
131.152;200.84622641509435
131.186;201.1970051474029
131.22;201.07955077211042
131.262;201.29246607393543
131.298;201.16405879563774
131.332;201.2574679943101
131.399;201.44851904090268
131.432;201.47390691114245
131.467;201.65068171133052
131.502;201.16511627906976
131.536;201.17302325581394
131.574;201.72211808809746
131.608;201.82661668228678
131.641;201.35801312089973
131.675;201.19915453264443
131.75;200.80084546735557
131.785;200.73602630342884
131.834;200.74778554778555
131.867;200.57622377622377
131.901;200.93846153846152
131.935;200.94033412887828
131.97;201.06825775656324
132.006;201.0673031026253
132.04;201.0569411764706
132.117;201.37129411764707
132.149;201.45049739459972
132.183;201.6257697773567
132.219;201.32733301752725
132.253;201.7654554034922
132.287;201.58801321378007
132.321;200.80009496676163
132.355;200.43969610636276
132.388;200.42450142450141
132.46;201.2644705882353
132.498;201.10164705882352
132.533;201.03341176470587
132.568;200.58285440613028
132.634;200.70689655172413
132.667;201.32830188679245
132.702;201.4514150943396
132.738;201.08820754716982
132.771;201.19257867543448
132.806;201.30436824800375
132.842;201.09887005649716
132.876;201.180790960452
132.943;201.3205964585275
132.977;201.44175209692452
133.012;201.77865796831315
133.079;201.04873477038424
133.113;201.22914714151827
133.155;201.18611242324044
133.19;200.6136041568257
133.224;200.92604804521903
133.258;200.9090909090909
133.292;200.69524258125296
133.325;201.15164319248825
133.36;201.21173708920188
133.399;201.05962441314554
133.451;200.67912190565156
133.507;200.7239607659972
133.541;200.82664147378367
133.575;200.9981105337742
133.609;201.0434577231932
133.643;200.9754369390647
133.678;200.77223529411765
133.712;200.73364705882352
133.782;200.46870588235294
133.877;200.64774859287056
133.915;200.38696060037523
133.95;199.9111111111111
134.017;199.7177304964539
134.093;199.9048067860509
134.126;199.8770028275212
134.16;199.55749293119698
134.196;199.89289099526067
134.234;200.05497630331755
134.269;200.42630057803467
134.303;200.48121387283237
134.337;200.64354527938343
134.378;200.59682080924856
134.446;201.51234567901236
134.517;201.19468186134853
134.586;200.66884024219843
134.625;200.4741499767117
134.663;200.61232051875868
134.697;200.53404353867532
134.765;199.95348837209303
134.833;200.06093023255815
134.91;199.7795016455101
134.976;199.82980724024446
135.044;200.68393782383419
135.08;200.92133772962788
135.148;200.97268016957136
135.188;200.9806877060763
135.254;200.7313991576977
135.322;200.40497419052087
